Link,Bedrooms,Bathrooms,Area_m2,Price_per_meter,Address,City,Location_1,Location_2,Unit,Type,Rent_Sale
https://www.propertysorted.com/buy/listing/apartment-for-sale-at-a-bargain-price-3654,3.0,2.0,130.0,26154.0,"Dar Misr El Koronfel, New Cairo, Egypt",Cairo,New Cairo,Dar Misr El Koronfel,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/airy-retreat-in-yardin-exclusive-compound-with-unique-designs-and-luxury-amenities-3598,1.0,1.0,66.0,42750.0,"Yardin, New Cairo, Egypt",Cairo,New Cairo,Yardin,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-katameya-gardens-bedrooms-5-sqm-170-property-type-apartment,5.0,,170.0,52469.0,"Katameya Gardens, New Cairo, Egypt",Cairo,New Cairo,Katameya Gardens,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-moon-residence-bedrooms-4-sqm-270-property-type-apartment,4.0,,270.0,128676.0,"Moon Residence, New Cairo, Egypt",Cairo,New Cairo,Moon Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-badr-khan-ali-street-bedrooms-3-sqm-230-property-type-apartment,3.0,,230.0,33261.0,"Badr Khan Ali Street, New Cairo, Egypt",Cairo,New Cairo,Badr Khan Ali Street,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-highland-park-bedrooms-3-sqm-245-property-type-apartment,3.0,,245.0,37419.0,"Highland Park, New Cairo, Egypt",Cairo,New Cairo,Highland Park,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-white-residence-bedrooms-6-sqm-162-property-type-apartment,6.0,,162.0,74619.0,"White Residence, New Cairo, Egypt",Cairo,New Cairo,White Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-patio-7-bedrooms-6-sqm-255-property-type-apartment,6.0,,255.0,67188.0,"El Patio 7, New Cairo, Egypt",Cairo,New Cairo,El Patio 7,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-rivali-new-cairo-bedrooms-4-sqm-215-property-type-apartment,4.0,,215.0,48387.0,"Rivali New Cairo, New Cairo, Egypt",Cairo,New Cairo,Rivali New Cairo,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-azad-bedrooms-3-sqm-177-property-type-apartment,3.0,,177.0,65934.0,"Azad, New Cairo, Egypt",Cairo,New Cairo,Azad,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-valencia-valley-bedrooms-2-sqm-127-property-type-apartment,2.0,,127.0,58957.0,"Valencia Valley, New Cairo, Egypt",Cairo,New Cairo,Valencia Valley,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-amara-residence-bedrooms-3-sqm-155-property-type-apartment,3.0,,155.0,79327.0,"Amara Residence, New Cairo, Egypt",Cairo,New Cairo,Amara Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-eelaf-residence-bedrooms-2-sqm-120-property-type-apartment,2.0,,120.0,65330.0,"Eelaf Residence, New Cairo, Egypt",Cairo,New Cairo,Eelaf Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-azad-bedrooms-1-sqm-99-property-type-apartment,1.0,,99.0,65934.0,"Azad, New Cairo, Egypt",Cairo,New Cairo,Azad,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-mountain-view-i-city-bedrooms-1-sqm-75-property-type-apartment,1.0,,75.0,61875.0,"Mountain View i City, New Cairo, Egypt",Cairo,New Cairo,Mountain View i City,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-eelaf-residence-bedrooms-1-sqm-85-property-type-apartment,1.0,,85.0,65330.0,"Eelaf Residence, New Cairo, Egypt",Cairo,New Cairo,Eelaf Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-rivali-new-cairo-bedrooms-1-sqm-75-property-type-apartment,1.0,,75.0,48387.0,"Rivali New Cairo, New Cairo, Egypt",Cairo,New Cairo,Rivali New Cairo,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-mountain-view-i-city-bedrooms-4-sqm-210-property-type-apartment,4.0,,210.0,61875.0,"Mountain View i City, New Cairo, Egypt",Cairo,New Cairo,Mountain View i City,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-highland-park-bedrooms-4-sqm-255-property-type-apartment,4.0,,255.0,37419.0,"Highland Park, New Cairo, Egypt",Cairo,New Cairo,Highland Park,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-patio-7-bedrooms-4-sqm-186-property-type-apartment,4.0,,186.0,67188.0,"El Patio 7, New Cairo, Egypt",Cairo,New Cairo,El Patio 7,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-la-mirada-new-cairo-bedrooms-2-sqm-110-property-type-apartment,2.0,,110.0,81250.0,"La Mirada New Cairo, New Cairo, Egypt",Cairo,New Cairo,La Mirada New Cairo,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-eelaf-residence-bedrooms-3-sqm-135-property-type-apartment,3.0,,135.0,65330.0,"Eelaf Residence, New Cairo, Egypt",Cairo,New Cairo,Eelaf Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-white-residence-bedrooms-3-sqm-162-property-type-apartment,3.0,,162.0,74619.0,"White Residence, New Cairo, Egypt",Cairo,New Cairo,White Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-villette-bedrooms-4-sqm-284-property-type-apartment,4.0,,284.0,68783.0,"Villette, New Cairo, Egypt",Cairo,New Cairo,Villette,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-acasa-mia-bedrooms-5-sqm-205-property-type-apartment,5.0,,205.0,43902.0,"Acasa Mia, New Cairo, Egypt",Cairo,New Cairo,Acasa Mia,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-south-of-academy-bedrooms-5-sqm-350-property-type-apartment,5.0,,350.0,38293.0,"South of Academy, New Cairo, Egypt",Cairo,New Cairo,South of Academy,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-the-icon-residence-bedrooms-3-sqm-155-property-type-apartment,3.0,,155.0,38677.0,"The Icon Residence, New Cairo, Egypt",Cairo,New Cairo,The Icon Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-mountain-view-i-city-bedrooms-5-sqm-300-property-type-apartment,5.0,,300.0,61875.0,"Mountain View i City, New Cairo, Egypt",Cairo,New Cairo,Mountain View i City,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-katameya-creeks-bedrooms-4-sqm-340-property-type-apartment,4.0,,340.0,157513.0,"Katameya Creeks, New Cairo, Egypt",Cairo,New Cairo,Katameya Creeks,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-la-mirada-new-cairo-bedrooms-3-sqm-218-property-type-apartment,3.0,,218.0,81250.0,"La Mirada New Cairo, New Cairo, Egypt",Cairo,New Cairo,La Mirada New Cairo,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-yasmeen-bedrooms-1-sqm-50-property-type-apartment,1.0,,50.0,73214.0,"El Yasmeen, New Cairo, Egypt",Cairo,New Cairo,El Yasmeen,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-regents-park-bedrooms-5-sqm-300-property-type-apartment,5.0,,300.0,61611.0,"Regents Park, New Cairo, Egypt",Cairo,New Cairo,Regents Park,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-white-residence-bedrooms-4-sqm-225-property-type-apartment,4.0,,225.0,74619.0,"White Residence, New Cairo, Egypt",Cairo,New Cairo,White Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-banafseg-apartment-buildings-bedrooms-3-sqm-200-property-type-apartment,3.0,,200.0,32353.0,"El Banafseg Apartment Buildings, New Cairo, Egypt",Cairo,New Cairo,El Banafseg Apartment Buildings,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-villette-bedrooms-3-sqm-160-property-type-apartment,3.0,,160.0,68783.0,"Villette, New Cairo, Egypt",Cairo,New Cairo,Villette,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-banafseg-7-bedrooms-4-sqm-202-property-type-apartment,4.0,,202.0,38500.0,"El Banafseg 7, New Cairo, Egypt",Cairo,New Cairo,El Banafseg 7,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-azad-bedrooms-2-sqm-140-property-type-apartment,2.0,,140.0,65934.0,"Azad, New Cairo, Egypt",Cairo,New Cairo,Azad,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-azad-bedrooms-4-sqm-209-property-type-apartment,4.0,,209.0,65934.0,"Azad, New Cairo, Egypt",Cairo,New Cairo,Azad,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-palm-hills-new-cairo-bedrooms-6-sqm-116-property-type-apartment,6.0,,116.0,125115.0,"Palm Hills New Cairo, New Cairo, Egypt",Cairo,New Cairo,Palm Hills New Cairo,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-highland-park-bedrooms-5-sqm-340-property-type-apartment,5.0,,340.0,37419.0,"Highland Park, New Cairo, Egypt",Cairo,New Cairo,Highland Park,Apartment,Residential,Sale
